nse_ticker,company_name,macro,sector,industry,basic_industry,themes
ARMANFIN,Arman Financial Services Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),
AROGRANITE,Aro Granite Industries Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Granites & Marbles,discretionary
AROHAN,,,,,,
ARROWGREEN,Arrow Greentech Limited,Industrials,Capital Goods,Industrial Products,Packaging,renewables;new_age_tech
ARSSBL,Anand Rathi Share and Stock Brokers Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,capital_markets
ARTEMISMED,Artemis Medicare Services Limited,Healthcare,Healthcare,Healthcare Services,Hospital,hospitals
ARTNIRMAN,Art Nirman Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,realty
ARVIND,Arvind Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,discretionary
ARVINDFASN,Arvind Fashions Limited,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,discretionary
ARVINDSMRT,,,,,,
ARVSMART,Arvind SmartSpaces Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,realty
ASAHIINDIA,Asahi India Glass Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ev
ASAHISONG,Asahi Songwon Colors Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments,specialty_chem
ASAHISONGI,,,,,,
ASAL,Automotive Stampings and Assemblies Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ev
ASALCBR,Associated Alcohols & Breweries Ltd.,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,
ASHAPURMIN,Ashapura Minechem Limited,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals,metals
ASHIANA,Ashiana Housing Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,realty
ASHIMASYN,Ashima Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,discretionary
ASHIRVAD,,,,,,
ASHOKA,Ashoka Buildcon Limited,Industrials,Construction,Construction,Civil Construction,
ASHOKAMET,Ashoka Metcast Limited,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Metals,metals
ASHOKLEY,Ashok Leyland Limited,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Commercial Vehicles,ev
ASIANENE,Asian Energy Services Limited,Energy,Oil Gas & Consumable Fuels,Oil,Oil Equipment & Services,
ASIANHOTNR,Asian Hotels (North) Limited,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,discretionary
ASIANPAINT,Asian Paints Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints,discretionary
ASIANTILES,Asian Granito India Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,discretionary
ASK,,,,,,
ASKAUTOLTD,ASK Automotive Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ev
ASMS,Bartronics India Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,it_services
ASPINWALL,Aspinwall and Company Limited,Services,Services,Transport Services,Logistics Solution Provider,logistics
ASTEC,Astec LifeSciences Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,specialty_chem;rural_agri
ASTECLIFE,,,,,,
