nse_ticker,company_name,macro,sector,industry,basic_industry,source
CIEINDIA,CIE Automotive India Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
CIFL,Capital India Finance Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),nse_official
CIGNITITEC,Cigniti Technologies Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,nse_official
CINELINE,Cineline India Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Film Production Distribution & Exhibition,nse_official
CINEVISTA,Cinevista Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,nse_official
CIPLA,Cipla Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
CLEAN,Clean Science and Technology Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
CLEANMAX,Clean Max Enviro Energy Solutions Limited,Utilities,Power,Power,Power Generation,nse_official
CLSEL,Chaman Lal Setia Exports Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,nse_official
CMSINFO,CMS Info Systems Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,nse_official
CNL,Creative Newtech Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors,nse_official
COALINDIA,Coal India Limited,Energy,Oil Gas & Consumable Fuels,Consumable Fuels,Coal,nse_official
COASTCORP,Coastal Corporation Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Seafood,nse_official
COCHINSHIP,Cochin Shipyard Limited,Industrials,Capital Goods,Industrial Manufacturing,Ship Building & Allied Services,nse_official
COFFEEDAY,Coffee Day Enterprises Limited,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants,nse_official
COFORGE,Coforge Limited,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,nse_official
COHANCE,Cohance Lifesciences Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
COLORMASTER,,,,,,missing
COLPAL,Colgate Palmolive (India) Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,nse_official
COMPUSOFT,Compucom Software Limited,Consumer Discretionary,Consumer Services,Other Consumer Services,Education,nse_official
COMSYN,Commercial Syn Bags Limited,Industrials,Capital Goods,Industrial Products,Packaging,nse_official
CONCOR,Container Corporation of India Limited,Services,Services,Transport Services,Logistics Solution Provider,nse_official
CONCORD,,,,,,missing
CONCORDBIO,Concord Biotech Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
CONFIPET,Confidence Petroleum India Limited,Energy,Oil Gas & Consumable Fuels,Gas,LPG/CNG/PNG/LNG Supplier,nse_official
CONTROLPR,Control Print Limited,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments,nse_official
CORALFINAC,Coral India Finance & Housing Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,nse_official
CORDSCABLE,Cords Cable Industries Limited,Industrials,Capital Goods,Industrial Products,Cables - Electricals,nse_official
COROMANDEL,Coromandel International Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,nse_official
CORONA,CORONA Remedies Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
COSMOFIRST,COSMO FIRST LIMITED,Industrials,Capital Goods,Industrial Products,Packaging,nse_official
COUNCODOS,Country Condo's Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,nse_official
CPCAP,CP Capital Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),nse_official
CPEDU,Career Point Edutech Limited,Consumer Discretionary,Consumer Services,Other Consumer Services,Education,nse_official
CPPLUS,Aditya Infotech Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,nse_official
CRAFTSMAN,Craftsman Automation Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
CRAMC,Canara Robeco Asset Management Company Limited,Financial Services,Financial Services,Capital Markets,Asset Management Company,nse_official
CREAMBELL,,,,,,missing
CREATIVEYE,Creative Eye Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Media & Entertainment,nse_official
CREDITACC,CREDITACCESS GRAMEEN LIMITED,Financial Services,Financial Services,Finance,Microfinance Institutions,nse_official
CREMICAP,,,,,,missing
CREST,Crest Ventures Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),nse_official
CRISIL,CRISIL Limited,Financial Services,Financial Services,Finance,Other Financial Services,nse_official
CRIZAC,Crizac Limited,Consumer Discretionary,Consumer Services,Retailing,Internet & Catalogue Retail,nse_official
CROMPTON,Crompton Greaves Consumer Electricals Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,nse_official
CROWN,Crown Lifters Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,nse_official
CSBBANK,CSB Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank,nse_official
CSLFINANCE,CSL Finance Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),nse_official
CSTLTD,,,,,,missing
CTE,Cambridge Technology Enterprises Limited,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,nse_official
CUB,City Union Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank,nse_official
CUBEXTUB,Cubex Tubings Limited,Industrials,Capital Goods,Industrial Products,Aluminium Copper & Zinc Products,nse_official
CUMI,,,,,,missing
CUMMINSIND,Cummins India Limited,Industrials,Capital Goods,Industrial Products,Compressors Pumps & Diesel Engines,nse_official
CUPID,Cupid Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,nse_official
CYBERMEDIA,Cyber Media (India) Limited,Consumer Discretionary,Media Entertainment & Publication,Media,Electronic Media,nse_official
CYBERTECH,Cybertech Systems And Software Limited,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,nse_official
CYIENT,Cyient Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,nse_official
CYIENTDLM,Cyient DLM Limited,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,nse_official
DABUR,Dabur India Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,nse_official
DALBHARAT,Dalmia Bharat Limited,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,nse_official
DALMIACE,,,,,,missing
DALMIACEM,,,,,,missing
DALMIACEMB,,,,,,missing
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,nse_official
DAMCAPITAL,Dam Capital Advisors Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,nse_official
DAMODARIND,Damodar Industries Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,nse_official
DANGEE,Dangee Dums Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,nse_official
DATACUBE,,,,,,missing
DATAMATICS,Datamatics Global Services Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,nse_official
DATAPATTNS,Data Patterns (India) Limited,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,nse_official
DAVANGERE,Davangere Sugar Company Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG,nse_official
DBCORP,D.B.Corp Limited,Consumer Discretionary,Media Entertainment & Publication,Media,Print Media,nse_official
DBEIL,Deepak Builders & Engineers India Limited,Industrials,Construction,Construction,Civil Construction,nse_official
DBL,Dilip Buildcon Limited,Industrials,Construction,Construction,Civil Construction,nse_official
DBOL,Dhampur Bio Organics Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,nse_official
DBREALTY,Valor Estate Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,nse_official
DBSTOCKBRO,DB (International) Stock Brokers Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,nse_official
DCAL,Dishman Carbogen Amcis Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
DCBBANK,DCB Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank,nse_official
DCI,Dc Infotech And Communication Limited,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,nse_official
DCM,DCM  Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,nse_official
DCMNVL,DCM Nouvelle Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,nse_official
DCMSHRIRAM,DCM Shriram Limited,Diversified,Diversified,Diversified,Diversified,nse_official
DCMSIL,DCM Shriram International Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,nse_official
DCMSRIND,DCM Shriram Industries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,nse_official
DCW,DCW Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals,nse_official
DCWLTD,,,,,,missing
DCXINDIA,DCX Systems Limited,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,nse_official
DDEVPLSTIK,Ddev Plastiks Industries Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
DECCANCE,Deccan Cements Limited,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,nse_official
DEEDEV,DEE Development Engineers Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,nse_official
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,nse_official
DEEPAKNITR,,,,,,missing
DEEPAKNTR,Deepak Nitrite Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
DEEPINDS,Deep Industries Limited,Energy,Oil Gas & Consumable Fuels,Oil,Oil Equipment & Services,nse_official
DELHIVERY,Delhivery Limited,Services,Services,Transport Services,Logistics Solution Provider,nse_official
DELPHIFX,DELPHI WORLD MONEY LIMITED,Financial Services,Financial Services,Finance,Other Financial Services,nse_official
DELTACORP,Delta Corp Limited,Consumer Discretionary,Consumer Services,Leisure Services,Amusement Parks/ Other Recreation,nse_official
DELTAMAGNT,Delta Manufacturing Limited,Industrials,Capital Goods,Industrial Products,Other Industrial Products,nse_official
DEN,Den Networks Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production,nse_official
DENORA,De Nora India Limited,Industrials,Capital Goods,Industrial Products,Electrodes & Refractories,nse_official
DENSATECH,,,,,,missing
DENTA,Denta Water and Infra Solutions Limited,Utilities,Utilities,Other Utilities,Water Supply & Management,nse_official
DEVIT,Dev Information Technology Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,nse_official
DEVX,Dev Accelerator Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,nse_official
DEVYANI,Devyani International Limited,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants,nse_official
DFM,,,,,,missing
DGCONTENT,Digicontent Limited,Consumer Discretionary,Media Entertainment & Publication,Media,Advertising & Media Agencies,nse_official
DHAMPUR,,,,,,missing
DHAMPURSUG,Dhampur Sugar Mills Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,nse_official
DHANBANK,Dhanlaxmi Bank Limited,Financial Services,Financial Services,Banks,Private Sector Bank,nse_official
DHANU,,,,,,missing
DHANUKA,Dhanuka Agritech Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,nse_official
DHARANI,,,,,,missing
DHARMAJ,Dharmaj Crop Guard Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,nse_official
DHRUV,Dhruv Consultancy Services Limited,Services,Services,Commercial Services & Supplies,Consulting Services,nse_official
DHUNINV,Dhunseri Investments Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),nse_official
DIACABS,Diamond Power Infrastructure Limited,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,nse_official
DIAMINESQ,Diamines & Chemicals Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
DIAMONDYD,Prataap Snacks Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,nse_official
DICIND,DIC India Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Printing Inks,nse_official
DIFFNKG,Diffusion Engineers Limited,Industrials,Capital Goods,Industrial Products,Other Industrial Products,nse_official
DIGIDRIVE,Digidrive Distributors Limited,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce,nse_official
DIGISPICE,DiGiSPICE Technologies Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,nse_official
DIGITIDE,Digitide Solutions Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,nse_official
DIGJAMLMTD,Digjam Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,nse_official
DISHTV,Dish TV India Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production,nse_official
DIVGIITTS,Divgi Torqtransfer Systems Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
DIVI,,,,,,missing
DIVISLAB,Divi's Laboratories Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
DIXON,Dixon Technologies (India) Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,nse_official
DLF,DLF Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,nse_official
DLINKINDIA,D-Link (India) Limited,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments,nse_official
DMART,Avenue Supermarts Limited,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail,nse_official
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
DNAMEDIA,Diligent Media Corporation Limited,Consumer Discretionary,Media Entertainment & Publication,Media,Electronic Media,nse_official
DODLA,Dodla Dairy Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products,nse_official
DOLATALGO,Dolat Algotech Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,nse_official
DOLLAR,Dollar Industries Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,nse_official
DOLPHIN,Dolphin Offshore Enterprises (India) Limited,Energy,Oil Gas & Consumable Fuels,Oil,Offshore Support Solution Drilling,nse_official
DOMS,DOMS Industries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Stationary,nse_official
DONEAR,Donear Industries Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,nse_official
DPABHUSHAN,D. P. Abhushan Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,nse_official
DPSCLTD,DPSC Limited,Utilities,Power,Power,Integrated Power Utilities,nse_official
DPWIRES,D P Wires Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,nse_official
DRCSYSTEMS,DRC Systems India Limited,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,nse_official
DREAMFOLKS,Dreamfolks Services Limited,Services,Services,Transport Infrastructure,Airport & Airport services,nse_official
DREDGECORP,Dredging Corporation of India Limited,Services,Services,Engineering Services,Dredging,nse_official
DRLALPATH,,,,,,missing
DRONEACHARYA,,,,,,missing
DRREDDY,Dr. Reddy's Laboratories Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
DSFCL,DCM Shriram Fine Chemicals Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
DSPIM,,,,,,missing
DSSL,Dynacons Systems & Solutions Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,nse_official
DTDC,,,,,,missing
DTIL,Dhunseri Tea & Industries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee,nse_official
DUCON,Ducon Infratechnologies Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,nse_official
DVL,Dhunseri Ventures Limited,Diversified,Diversified,Diversified,Diversified,nse_official
DWARKESH,Dwarikesh Sugar Industries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,nse_official
DYCL,Dynamic Cables Limited,Industrials,Capital Goods,Industrial Products,Cables - Electricals,nse_official
DYNAMATECH,Dynamatic Technologies Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,nse_official
DYNPRO,Dynemic Products Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
EASEMYTRIP,Easy Trip Planners Limited,Consumer Discretionary,Consumer Services,Leisure Services,Tour Travel Related Services,nse_official
EBGNG,GNG Electronics Limited,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments,nse_official
ECLERX,eClerx Services Limited,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),nse_official
ECOSMOBLTY,Ecos (India) Mobility & Hospitality Limited,Services,Services,Transport Services,Road Transport,nse_official
EDELWEISS,Edelweiss Financial Services Limited,Financial Services,Financial Services,Finance,Holding Company,nse_official
EFCIL,EFC (I) Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,nse_official
EICHERMOT,Eicher Motors Limited,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,nse_official
EID,,,,,,missing
EIDPARRY,EID Parry India Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products,nse_official
EIEL,Enviro Infra Engineers Limited,Utilities,Utilities,Other Utilities,Water Supply & Management,nse_official
EIFFL,Euro India Fresh Foods Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,nse_official
EIHAHOTELS,EIH Associated Hotels Limited,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,nse_official
EIHOTEL,EIH Limited,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,nse_official
EIMCOELECO,Eimco Elecon (India) Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,nse_official
EKART,,,,,,missing
EKC,Everest Kanto Cylinder Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,nse_official
ELCIDSIMP,,,,,,missing
ELCOMPCORP,,,,,,missing
ELCOMPONENT,,,,,,missing
ELDECO,,,,,,missing
ELDEHSG,Eldeco Housing And Industries Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,nse_official
ELECON,Elecon Engineering Company Limited,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,nse_official
ELECTCAST,Electrosteel Castings Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,nse_official
ELECTHERM,Electrotherm (India) Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,nse_official
ELGI,,,,,,missing
ELGIEQUIP,Elgi Equipments Limited,Industrials,Capital Goods,Industrial Products,Compressors Pumps & Diesel Engines,nse_official
ELGIRUBCO,Elgi Rubber Company Limited,Industrials,Capital Goods,Industrial Products,Rubber,nse_official
ELIN,Elin Electronics Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,nse_official
ELIXIR,,,,,,missing
ELLEN,Ellenbarrie Industrial Gases Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Industrial Gases,nse_official
ELMEASURE,,,,,,missing
EMAMI,,,,,,missing
EMAMILTD,Emami Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,nse_official
EMAMIPAP,Emami Paper Mills Limited,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products,nse_official
EMAMIREAL,Emami Realty Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects,nse_official
EMBASSY,Embassy Office Parks REIT,Consumer Discretionary,Realty,Realty,Real Estate Investment Trusts (REITs),nse_official
EMCURE,Emcure Pharmaceuticals Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
EMGDELTA,,,,,,missing
EMIL,Electronics Mart India Limited,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail,nse_official
EMKAY,Emkay Global Financial Services Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,nse_official
EMMBI,Emmbi Industries Limited,Industrials,Capital Goods,Industrial Products,Packaging,nse_official
EMMVEE,Emmvee Photovoltaic Power Limited,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment,nse_official
EMSLIMITED,EMS Limited,Utilities,Utilities,Other Utilities,Waste Management,nse_official
EMUDHRA,eMudhra Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,nse_official
ENCUBE,,,,,,missing
ENDURANCE,Endurance Technologies Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
ENERGYDEV,Energy Development Company Limited,Utilities,Power,Power,Power Generation,nse_official
ENGINERSIN,Engineers India Limited,Industrials,Construction,Construction,Civil Construction,nse_official
ENIL,Entertainment Network (India) Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Media & Entertainment,nse_official
ENRIN,Siemens Energy India Limited,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,nse_official
ENTERO,Entero Healthcare Solutions Limited,Consumer Discretionary,Consumer Services,Retailing,Pharmacy Retail,nse_official
EPACK,EPACK Durable Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,nse_official
EPACKPEB,EPack Prefab Technologies Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,nse_official
EPIGRAL,Epigral Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
EPL,EPL Limited,Industrials,Capital Goods,Industrial Products,Packaging,nse_official
EQUINOX,,,,,,missing
EQUITASBNK,Equitas Small Finance Bank Limited,Financial Services,Financial Services,Banks,Other Bank,nse_official
ERIS,Eris Lifesciences Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
EROS,,,,,,missing
EROSMEDIA,Eros International Media Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Film Production Distribution & Exhibition,nse_official
ESAB,,,,,,missing
ESABINDIA,Esab India Limited,Industrials,Capital Goods,Industrial Products,Other Industrial Products,nse_official
ESAFSFB,ESAF Small Finance Bank Limited,Financial Services,Financial Services,Banks,Other Bank,nse_official
ESCORIT,,,,,,missing
ESCORTS,Escorts Kubota Limited,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Tractors,nse_official
ESGL,,,,,,missing
ESSARSHPNG,Essar Shipping Limited,Services,Services,Transport Services,Shipping,nse_official
ESSENTIA,Integra Essentia Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors,nse_official
ESTER,Ester Industries Limited,Industrials,Capital Goods,Industrial Products,Packaging,nse_official
ETERNAL,ETERNAL LIMITED,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce,nse_official
ETHNIX,,,,,,missing
ETHOSLTD,Ethos Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches,nse_official
EUREKAFORB,Eureka Forbes Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,nse_official
EUROBOND,Euro Panel Products Limited,Industrials,Capital Goods,Industrial Products,Aluminium Copper & Zinc Products,nse_official
EUROPRATIK,Euro Pratik Sales Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Furniture Home Furnishing,nse_official
EUROTEXIND,Eurotex Industries and Exports Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,nse_official
EVEREADY,Eveready Industries India Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Household Products,nse_official
EVERESTIND,Everest Industries Limited,Commodities,Construction Materials,Other Construction Materials,Other Construction Materials,nse_official
EXCEL,,,,,,missing
EXCELINDUS,Excel Industries Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
EXCELSOFT,Excelsoft Technologies Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,nse_official
EXICOM,Exicom Tele-Systems Limited,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,nse_official
EXIDEIND,Exide Industries Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
EXPERION,,,,,,missing
EXPLEOSOL,Expleo Solutions Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,nse_official
EXXARO,Exxaro Tiles Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,nse_official
FABTECH,Fabtech Technologies Limited,Healthcare,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies,nse_official
FACORALL,,,,,,missing
FACT,Fertilizers and Chemicals Travancore Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,nse_official
FAIRCHEM,,,,,,missing
FAIRCHEMOR,Fairchem Organics Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
FCL,Fineotex Chemical Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
FCSSOFT,FCS Software Solutions Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services,nse_official
FDC,FDC Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,nse_official
FEDERALBNK,The Federal Bank  Limited,Financial Services,Financial Services,Banks,Private Sector Bank,nse_official
FEDFINA,Fedbank Financial Services Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),nse_official
FEVICOL,,,,,,missing
FIEM,,,,,,missing
FIEMIND,Fiem Industries Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
FILATEX,Filatex India Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,nse_official
FILATFASH,Filatex Fashions Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,nse_official
FINCABLES,Finolex Cables Limited,Industrials,Capital Goods,Industrial Products,Cables - Electricals,nse_official
FINEORG,Fine Organic Industries Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
FINEOTEX,,,,,,missing
FINKURVE,Finkurve Financial Services Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),nse_official
FINOLEX,,,,,,missing
FINOPB,Fino Payments Bank Limited,Financial Services,Financial Services,Banks,Other Bank,nse_official
FINPIPE,Finolex Industries Limited,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,nse_official
FIRSTCRY,Brainbees Solutions Limited,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce,nse_official
FISCHER,Fischer Medical Ventures Limited,Healthcare,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies,nse_official
FIVESTAR,Five-Star Business Finance Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),nse_official
FLAIR,Flair Writing Industries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Stationary,nse_official
FLEXITUFF,Flexituff Ventures International Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,nse_official
FLUOROCHEM,Gujarat Fluorochemicals Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,nse_official
FMGOETZE,Federal-Mogul Goetze (India) Limited.,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,nse_official
FMNL,Future Market Networks Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,nse_official
